,itemType,showType,id,imdbId,tmdbId,title,overview,releaseYear,originalTitle,directors,cast,rating,runtime,firstAirYear,lastAirYear,creators,seasonCount,episodeCount,firstGenre,secondGenre,thirdGenre
454,show,series,58609,tt3563100,tv/106487,1812 (Napoleonic Wars in Russia),This series explores one of the most remarkable periods in the history of warfare: Napoleon’s crusade against the coalitions of Europe.,,1812 (Napoleonic Wars in Russia),,[],55,,2012.0,2012.0,[],1.0,4.0,adventure,documentary,
457,show,series,717,tt13991232,tv/118357,1883,Follows the Dutton family on a journey west through the Great Plains toward the last bastion of untamed America.,,1883,,"['Sam Elliott', 'Tim McGraw', 'Faith Hill', 'Isabel May', 'LaMonica Garrett', 'Marc Rissmann', 'Audie Rick']",85,,2021.0,2022.0,['Taylor Sheridan'],1.0,10.0,drama,western,
460,show,series,622,tt9319668,tv/90669,1899,"When mysterious events change the course of an immigrant ship headed for New York in 1899, a mind-bending riddle unfolds for its bewildered passengers.",,1899,,"['Emily Beecham', 'Andreas Pietschmann', 'Aneurin Barnard', 'Isabella Wei', 'Maciej Musiał', 'Yann Gael', 'Miguel Bernardeau']",73,,2022.0,2022.0,"['Baran bo Odar', 'Jantje Friese']",1.0,8.0,adventure,drama,thriller
461,show,series,49965,tt8020634,tv/72737,18if,"After going to sleep like normal, Haruto Tsukishiro wakes up to something unbelievableâ€”he's stuck in dream world! Here, powerful witches plague the dreamscape and are more than what they seem. And while he searches for a way out, he'll have to face them!",,18if,,"['Nobunaga Shimazaki', 'Takehito Koyasu', 'Kaori Nazuka', 'Ai Kakuma', 'Aya Endo', 'Ayaka Shimizu', 'Ayako Kawasumi']",51,,2017.0,2017.0,[],1.0,13.0,animation,fantasy,mystery
465,show,series,5768873,tt29507906,tv/234491,The Princess Bodyguard’s Love,An heiress seeking to defy her powerful father and avoid an arranged marriage proposes a fake relationship with her devoted bodyguard.,,18歳、新妻、不倫します。,,"['Nako Yabuki', 'Ryusei Fujii', 'Ryoko Kobayashi', 'Rio Komiya', 'Ryosuke Yamamoto', 'Yoshihiro Nozoe', 'Rina Aizawa']",56,,2023.0,2023.0,[],1.0,10.0,romance,,
468,show,series,20130898,tt1307083,tv/5985,19 Kids and Counting,"Follow the fascinating lives of Britain's largest family, the Radfords, in what is certain to be their biggest year yet.",,19 Kids and Counting,,"['Jim Bob Duggar', 'Michelle Duggar', 'Jill Dillard', 'Josh Duggar', 'Jinger Vuolo', 'Jessa Seewald', 'Anna Duggar']",34,,2008.0,2015.0,[],15.0,233.0,documentary,reality,
469,show,series,9568,tt3340712,tv/61546,19-2,"Powerful, exciting and unforgettable, 19-2 revolves around the lives of two unwilling partners in the Montreal Police Department.",,19-2,,"['Adrian Holmes', 'Jared Keeso', 'Benz Antoine', 'Mylène Dinh-Robic', 'Dan Petronijevic', 'Laurence Leboeuf', 'Bruce Ramsay']",71,,2014.0,2017.0,"['Réal Bossé', 'Claude Legault']",4.0,38.0,crime,drama,
470,show,series,3721521,tt27995116,tv/218475,Nineteen to Twenty,A group of young adults share their last week of teens and first week of twenties together — experiencing freedom and all the “firsts” of adulthood.,,19/20,,"['Cho Kyu-hyun', 'Kim Ji-eun', 'Lee Soo-hyun', 'Jeong Se-woon', 'Kim Jung-hyuk']",65,,2023.0,2023.0,"['Kim Jung-hyun', 'Park Su-ji', 'Kim Jae-won']",1.0,13.0,reality,romance,
472,show,series,20040016,tt3344708,tv/241204,1916 Seachtar Dearmadta,"This 7-part historical documentary series dives into the signatories of the 1916 Easter Proclamation, including Tom Clarke and James Connolly.",,1916 Seachtar Dearmadta,,"['Brendan Gleeson', 'Tim Creed', 'Aonghus Og McAnally', 'Conor Delaney', 'Bob Kelly', 'Sam McGovern', 'Frank McCusker']",51,,2013.0,2013.0,['Dathaí Keane'],1.0,7.0,drama,history,war
483,show,series,3834,tt18335752,tv/157744,1923,"The next Yellowstone origin story introduces a new generation of Duttons, as they explore the early 20th century in the Mountain West.",,1923,,"['Helen Mirren', 'Harrison Ford', 'Brandon Sklenar', 'Julia Schlaepfer', 'Jerome Flynn', 'Darren Mann', 'Isabel May']",82,,2022.0,2025.0,['Taylor Sheridan'],2.0,15.0,drama,western,
